py_depth,my_depth
2.296834150631542597e-04,-9.155273437500000000e-05
5.196651301947864763e-04,4.119873046875000000e-04
7.444833829999207260e-04,6.561279296875000000e-04
8.931919958624990122e-04,6.408691406250000000e-04
7.912373287918852928e-04,6.408691406250000000e-04
7.351235799041231636e-04,5.569458007812500000e-04
4.219141619536093905e-04,2.822875976562500000e-04
2.450172976601765521e-04,-8.392333984375000000e-05
2.996694982884547890e-04,1.602172851562500000e-04
1.920419266966599196e-04,2.441406250000000000e-04
-2.929951905571306177e-04,-4.730224609375000000e-04
-1.027324765119660586e-03,-1.205444335937500000e-03
-1.555217973776065873e-03,-1.625061035156250000e-03
-1.077040458778858031e-03,-1.052856445312500000e-03
-8.907179759823463357e-04,-8.621215820312500000e-04
-1.258892041265018700e-03,-1.220703125000000000e-03
-1.423356411508760631e-03,-1.571655273437500000e-03
-1.094223516156606676e-03,-1.197814941406250000e-03
-1.062438690864330772e-03,-1.136779785156250000e-03
-1.321335356096638592e-03,-1.518249511718750000e-03
-1.598069805704423023e-03,-1.716613769531250000e-03
-1.375569255111657807e-03,-1.846313476562500000e-03
-1.325709815306337636e-03,-1.884460449218750000e-03
-1.190041467704684415e-03,-1.296997070312500000e-03
-8.617791512179621060e-04,-9.002685546875000000e-04
-4.493813771348137203e-04,-4.043579101562500000e-04
-1.621029968257572875e-04,-1.525878906250000000e-04
1.216249005830776213e-04,1.068115234375000000e-04
3.853005172639120289e-04,4.043579101562500000e-04
4.024283292086369441e-04,4.348754882812500000e-04
1.390059410349825104e-04,7.629394531250000000e-05
-4.866078795133649271e-04,-7.400512695312500000e-04
-5.147024546035592436e-04,-6.103515625000000000e-04
-2.539892179280159486e-04,-5.187988281250000000e-04
1.541162505081127205e-04,2.899169921875000000e-04
